//U V R G B Intensity
-0.02679223 0.03407941 72 71 102 1432
-0.02861452 0.03400192 72 71 102 1882
-0.03070216 0.03410038 102 102 128 2289
-0.03218923 0.03404295 102 102 128 5400
-0.03328645 0.03403767 102 102 128 9414
-0.03446256 0.03412538 102 102 128 15246
-0.03505556 0.03406449 102 102 128 21003
-0.03620536 0.03405459 102 102 128 24764
-0.03738149 0.03414229 102 102 128 26610
-0.03869060 0.03411838 147 148 166 27639
-0.03999973 0.03419447 147 148 166 28653
-0.04067212 0.03412653 147 148 166 27814
-0.04149404 0.03415457 147 148 166 27285
-0.04245823 0.03416098 147 148 166 24764
-0.04291874 0.03411174 147 148 166 22728
0.04677412 0.03226507 93 80 100 27239
0.04591611 0.03228081 166 157 178 27239
0.04447449 0.03224526 166 157 178 28128
0.04324529 0.03232830 166 157 178 28982
0.04229810 0.03232709 166 157 178 29078
0.04128077 0.03232884 166 157 178 28217
0.04058160 0.03235854 166 157 178 27060
0.03932556 0.03233930 166 157 178 25839
0.03813966 0.03231710 166 157 178 26721
0.03704296 0.03241186 243 238 255 26389
0.03614164 0.03233292 243 238 255 24932
0.03511455 0.03242468 243 238 255 23760
0.03386831 0.03241541 243 238 255 19671
0.03247000 0.03247453 243 238 255 15503
0.03130367 0.03247229 243 238 255 10621
0.03041887 0.03248568 243 238 255 6746
0.02982587 0.03242473 243 238 255 4300
0.02872917 0.03241950 228 229 249 3178
0.02825167 0.03247780 228 229 249 2189
0.02345753 0.03251192 228 229 249 1242
0.02264234 0.03252231 228 229 249 1242
0.02082999 0.03255410 228 229 249 1200
0.02100574 0.03256077 150 155 174 1182
0.01584031 0.03256255 150 155 174 1039
0.01196655 0.03269546 93 100 118 982
0.01078983 0.03258354 93 100 118 1028
0.00849029 0.03266339 93 100 118 1010
0.00771171 0.03268611 93 100 118 1046
0.00743681 0.03265312 93 100 118 1089
0.00628701 0.03264321 93 100 118 1096
0.00513720 0.03273330 93 100 118 1032
-0.00333795 0.03279939 77 83 105 1242
-0.00483225 0.03275950 76 80 109 1171
-0.00657547 0.03278830 76 80 109 1282
-0.01227152 0.03284371 76 80 109 1142
-0.01458045 0.03291396 75 76 107 1114
-0.01571333 0.03289671 75 76 107 1157
-0.01777466 0.03289756 75 76 107 1221
-0.01911008 0.03297127 75 76 107 1225
-0.02015376 0.03287105 75 76 107 1253
-0.02180730 0.03291686 93 94 122 1307
-0.02217861 0.03288451 93 94 122 1367
-0.02469014 0.03294606 93 94 122 1364
-0.02928214 0.03308876 93 94 122 2032
-0.03037937 0.03308348 147 149 172 2892
-0.03121055 0.03310158 147 149 172 4564
-0.03230779 0.03309629 147 149 172 8910
-0.03284767 0.03304002 147 149 172 14257
-0.03364278 0.03307041 147 149 172 20017
-0.03461677 0.03306684 147 149 172 24003
-0.03629710 0.03311028 147 149 172 26278
-0.03699580 0.03314003 147 149 172 28096
-0.03833121 0.03311381 213 216 233 28946
-0.03942845 0.03310853 213 216 233 29439
-0.04018022 0.03313361 213 216 233 28946
-0.04148936 0.03320969 213 216 233 27367
-0.04210864 0.03314643 213 216 233 26446
-0.04294033 0.03316448 213 216 233 25053
-0.04393085 0.03316858 213 216 233 21578
0.04474468 0.03132366 166 157 178 28128
0.04385989 0.03133705 166 157 178 29996
0.04278946 0.03133412 166 157 178 30421
0.04179897 0.03133822 166 157 178 28221
0.04075537 0.03133765 166 157 178 26232
0.03941017 0.03140145 166 157 178 26717
0.03831345 0.03139621 166 157 178 26639
0.03766736 0.03143058 243 238 255 27492
0.03670314 0.03143699 243 238 255 27317
0.03557964 0.03142939 243 238 255 26228
0.03434064 0.03140253 243 238 255 24092
0.03348262 0.03141828 243 238 255 21492
0.03214721 0.03149205 243 238 255 16882
0.03150113 0.03142643 243 238 255 12460
0.02995379 0.03148157 243 238 255 8492
0.02893649 0.03148332 243 238 255 5478
0.02831668 0.03152000 228 229 249 3764
0.02714058 0.03150778 228 229 249 2657
0.02692858 0.03148943 228 229 249 2110
0.02588446 0.03148882 228 229 249 1764
0.02427424 0.03152932 228 229 249 1482
0.02192153 0.03160476 228 229 249 1221
0.02172654 0.03157886 228 229 249 1228
0.01818792 0.03163211 150 155 174 1153
0.01392380 0.03161284 150 155 174 1132
0.01339319 0.03166647 150 155 174 1103
0.01133227 0.03166764 93 100 118 1135
0.00648504 0.03169710 93 100 118 1153
0.00533523 0.03178719 93 100 118 1046
0.00243283 0.03179644 77 83 105 1021
-0.00110589 0.03185004 77 83 105 1242
-0.00487353 0.03179264 76 80 109 1060
-0.00620896 0.03186641 76 80 109 1142
-0.01330323 0.03198060 75 76 107 1078
-0.01562922 0.03195875 75 76 107 1250
-0.01764683 0.03195462 75 76 107 1282
-0.01916785 0.03201207 75 76 107 1214
-0.01927414 0.03200302 75 76 107 1253
-0.02093695 0.03203889 75 76 107 1310
-0.02261737 0.03198264 93 94 122 1267
-0.02643805 0.03212027 93 94 122 1714
-0.02976426 0.03209227 93 94 122 3689
-0.03021497 0.03215293 147 149 172 6842
-0.03124206 0.03214470 147 149 172 11607
-0.03225936 0.03214644 147 149 172 16667
-0.03311735 0.03216219 147 149 172 21803
-0.03437339 0.03214295 147 149 172 25424
